Scena,Frame_Num,Lidar_Token,Occlusion_Index,Area_m2,Distanza_m,Prob_Auto,Prob_Pedone,Prob_Camion,Prob_Bicicletta,Prob_Moto,Prob_Bus,Prob_Rimorchio,Prob_Barriera,Prob_Cono,Prob_Altro,Oggetto_Piu_Probabile,Prob_Massima,Sintesi
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,31,27.208,41.93,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,32,30.403,31.76,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,33,57.611,46.61,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,34,14.99,49.99,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,35,32.556,40.14,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,36,4.462,41.73,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,37,11.571,40.96,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,38,0.942,43.42,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,39,137.214,21.58,0.0153,0.2387,0.0026,0.0909,0.0139,0.0,0.0,0.1841,0.0993,0.0856,Pedone,0.2387,Presenza potenziale: Pedone (23.9%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,40,9.24,21.77,0.015,0.2376,0.0025,0.0876,0.0125,0.0,0.0,0.1875,0.1,0.0875,Pedone,0.2376,Presenza potenziale: Pedone (23.8%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,41,0.925,28.77,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,42,2.607,41.11,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,43,20.86,13.77,0.0142,0.1575,0.0,0.135,0.0865,0.0,0.0,0.0386,0.0575,0.0278,Pedone,0.1575,Area probabilmente libera o con ostacoli minori (Pedone al 15.8%).
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,44,1.391,41.17,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,45,33.291,15.73,0.0134,0.1657,0.0,0.1187,0.0718,0.0,0.0,0.0695,0.0657,0.0416,Pedone,0.1657,Area probabilmente libera o con ostacoli minori (Pedone al 16.6%).
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,46,0.864,40.48,0.0,0.15,0.0,0.075,0.05,0.0,0.0,0.01,0.05,0.01,Pedone,0.15,Area probabilmente libera o con ostacoli minori (Pedone al 15.0%).
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,47,1.613,42.96,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,48,8.791,46.99,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,49,9.202,32.8,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,50,1.614,38.08,0.0,0.15,0.0,0.075,0.05,0.0,0.0,0.01,0.05,0.01,Pedone,0.15,Area probabilmente libera o con ostacoli minori (Pedone al 15.0%).
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,0,32.722,45.45,0.0101,0.2006,0.0,0.0506,0.01,0.0,0.0,0.1998,0.1,0.0998,Pedone,0.2006,Presenza potenziale: Pedone (20.1%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,1,29.44,43.01,0.0156,0.2418,0.0028,0.0918,0.0128,0.0,0.0,0.1861,0.1,0.0861,Pedone,0.2418,Presenza potenziale: Pedone (24.2%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,2,83.927,25.47,0.0159,0.2444,0.003,0.0944,0.013,0.0,0.0,0.1852,0.1,0.0852,Pedone,0.2444,Presenza potenziale: Pedone (24.4%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,3,134.65,19.46,0.0116,0.2117,0.0008,0.0617,0.0108,0.0,0.0,0.1961,0.1,0.0961,Pedone,0.2117,Presenza potenziale: Pedone (21.2%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,4,57.409,18.57,0.0175,0.2562,0.0037,0.1062,0.0137,0.0,0.0,0.1813,0.1,0.0813,Pedone,0.2562,Presenza potenziale: Pedone (25.6%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,5,104.626,18.24,0.0157,0.2425,0.0028,0.0925,0.0128,0.0,0.0,0.1858,0.1,0.0858,Pedone,0.2425,Presenza potenziale: Pedone (24.2%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,6,111.538,18.53,0.95,0.2256,0.0017,0.0756,0.0117,0.0,0.0,0.1915,0.1,0.0915,Auto,0.95,Forte indizio di presenza: Auto (95.0%) in base alla memoria temporale causale.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,7,103.016,25.28,0.0135,0.2264,0.0018,0.0764,0.0118,0.0,0.0,0.1912,0.1,0.0912,Pedone,0.2264,Presenza potenziale: Pedone (22.6%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,8,44.989,19.36,0.0152,0.2388,0.0026,0.0888,0.0126,0.0,0.0,0.1871,0.1,0.0871,Pedone,0.2388,Presenza potenziale: Pedone (23.9%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,9,110.896,21.07,0.0159,0.2441,0.0029,0.0941,0.0129,0.0,0.0,0.1853,0.1,0.0853,Pedone,0.2441,Presenza potenziale: Pedone (24.4%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,10,123.786,22.74,0.0151,0.2383,0.0026,0.0883,0.0126,0.0,0.0,0.1872,0.1,0.0872,Pedone,0.2383,Presenza potenziale: Pedone (23.8%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,11,12.398,39.44,0.0133,0.2103,0.0012,0.0851,0.0261,0.0,0.0,0.1623,0.0917,0.0797,Pedone,0.2103,Presenza potenziale: Pedone (21.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,12,7.366,39.73,0.15,0.15,0.04,0.15,0.1,0.016,0.005,0.01,0.05,0.03,Auto,0.15,Area probabilmente libera o con ostacoli minori (Auto al 15.0%).
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,13,66.623,15.27,0.0181,0.261,0.0041,0.111,0.0141,0.0,0.0,0.1797,0.1,0.0797,Pedone,0.261,Presenza potenziale: Pedone (26.1%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,14,60.419,14.85,0.016,0.2448,0.003,0.0948,0.013,0.0,0.0,0.1851,0.1,0.0851,Pedone,0.2448,Presenza potenziale: Pedone (24.5%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,15,49.237,14.72,0.95,0.224,0.0016,0.074,0.0116,0.0,0.0,0.192,0.95,0.092,Auto,0.95,Forte indizio di presenza: Auto (95.0%) in base alla memoria temporale causale.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,16,175.944,20.04,0.1027,0.28,0.0612,0.1865,0.0415,0.0215,0.0135,0.1123,0.0865,0.05,Pedone,0.28,Presenza potenziale: Pedone (28.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,17,146.707,14.58,0.034,0.2033,0.0085,0.0674,0.0177,0.005,0.002,0.1819,0.0961,0.0921,Pedone,0.2033,Presenza potenziale: Pedone (20.3%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,18,194.557,15.83,0.1062,0.2193,0.065,0.1338,0.0412,0.0246,0.0154,0.1239,0.0846,0.0669,Pedone,0.2193,Presenza potenziale: Pedone (21.9%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,19,2.984,10.85,0.015,0.15,0.0,0.15,0.1,0.0,0.0,0.01,0.05,0.015,Pedone,0.15,Area probabilmente libera o con ostacoli minori (Pedone al 15.0%).
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,20,12.546,19.48,0.0121,0.2157,0.001,0.0657,0.011,0.0,0.0,0.1948,0.1,0.0948,Pedone,0.2157,Presenza potenziale: Pedone (21.6%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,21,101.942,32.12,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,22,3.343,35.57,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,23,37.476,32.67,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,24,0.08,34.58,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,25,53.712,29.43,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,26,23.045,46.6,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,27,10.423,35.51,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,28,27.049,31.8,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,29,24.279,32.1,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,30,14.932,35.69,0.01,0.95,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.95,Forte indizio di presenza: Pedone (95.0%) in base alla memoria temporale causale.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,31,56.552,40.03,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,32,50.412,44.03,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,33,32.189,46.79,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,34,36.403,42.62,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,35,9.279,38.44,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,36,20.712,36.99,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,37,5.685,39.96,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,38,52.972,30.11,0.0242,0.3067,0.0071,0.1567,0.0171,0.0,0.0,0.1644,0.1,0.0644,Pedone,0.3067,Presenza potenziale: Pedone (30.7%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,39,3.435,19.39,0.0,0.15,0.0,0.075,0.05,0.0,0.0,0.01,0.05,0.01,Pedone,0.15,Area probabilmente libera o con ostacoli minori (Pedone al 15.0%).
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,40,22.584,31.94,0.0103,0.2024,0.0002,0.0524,0.0102,0.0,0.0,0.1992,0.1,0.0992,Pedone,0.2024,Presenza potenziale: Pedone (20.2%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,41,3.903,42.56,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,42,21.739,9.59,0.0133,0.167,0.0,0.1159,0.0693,0.0,0.0,0.0748,0.067,0.044,Pedone,0.167,Area probabilmente libera o con ostacoli minori (Pedone al 16.7%).
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,43,0.924,43.57,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,44,24.83,20.11,0.015,0.15,0.0,0.15,0.1,0.0,0.0,0.01,0.05,0.015,Pedone,0.15,Area probabilmente libera o con ostacoli minori (Pedone al 15.0%).
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,45,1.459,43.8,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,46,4.358,39.59,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),2,4f792c8da81e4cb7aca1790654da1c27,47,8.753,18.37,0.0054,0.1768,0.0,0.0616,0.0286,0.0,0.0,0.1117,0.0768,0.0582,Pedone,0.1768,Area probabilmente libera o con ostacoli minori (Pedone al 17.7%).
